Person_ID,Mind_State,Timestamp,Delta,Theta,Low_Alpha,High_Alpha,Low_Beta,High_Beta,Low_Gamma,Mid_Gamma
2,focus,2026-03-30 20:47:50,589012,8745,5699,2472,1413,1199,2470,913
2,focus,2026-03-30 20:47:51,463951,68723,22056,6329,7839,10520,5835,4870
2,focus,2026-03-30 20:47:52,579575,34512,7035,8662,13954,6197,14869,2495
2,focus,2026-03-30 20:47:53,257457,91691,42976,5693,7518,7567,3143,2411
2,focus,2026-03-30 20:47:54,294354,75559,12863,4163,2339,3462,2756,3481
2,focus,2026-03-30 20:47:55,65569,15239,3388,912,2211,2041,980,480
2,focus,2026-03-30 20:47:56,805325,154667,131662,66550,24597,34754,33792,35561
2,focus,2026-03-30 20:47:57,472591,35002,7235,7697,8808,11414,3177,2111
2,focus,2026-03-30 20:47:58,196823,93098,37503,5128,6222,4836,2640,1949
2,focus,2026-03-30 20:47:59,1365264,317861,32567,49495,48431,17228,20456,8673
2,focus,2026-03-30 20:48:00,452025,88939,29175,4323,11208,13260,4193,1887
2,focus,2026-03-30 20:48:00,123198,49038,8646,3946,1361,3732,1998,408
2,focus,2026-03-30 20:48:01,269730,161923,9946,14925,17953,12290,8261,3111
2,focus,2026-03-30 20:48:02,1318161,121578,57502,8428,7834,24529,5906,6522
2,focus,2026-03-30 20:48:04,781873,28189,4427,1166,14933,10935,8988,3321
2,focus,2026-03-30 20:48:04,2496881,475786,25718,19572,38801,61869,18750,8264
2,focus,2026-03-30 20:48:05,559796,149383,35295,32632,28892,13571,22870,5256
2,focus,2026-03-30 20:48:06,492816,132035,9807,11196,8023,4634,8184,3479
2,focus,2026-03-30 20:48:07,2194465,651939,29366,74243,54600,42268,36493,9695
2,focus,2026-03-30 20:48:08,728481,190241,114021,25380,57939,47160,40946,23719
2,focus,2026-03-30 20:48:09,1378861,1085949,12628,28988,8294,40419,19566,19118
2,focus,2026-03-30 20:48:10,1549393,194353,30513,71082,16098,28322,17279,17376
2,focus,2026-03-30 20:48:11,848758,269628,125915,50786,36260,36063,20263,3960
2,focus,2026-03-30 20:48:12,1700696,166982,18184,33490,45164,24540,11168,3406
2,focus,2026-03-30 20:48:13,2501491,288241,42238,20341,35508,37761,28340,11380
2,focus,2026-03-30 20:48:14,582286,199973,44573,29366,8182,7075,10068,2014
2,focus,2026-03-30 20:48:15,189624,191722,20393,13966,14186,6218,7826,2849
2,focus,2026-03-30 20:48:16,1220069,118109,25512,10191,8144,7677,3625,7004
2,focus,2026-03-30 20:48:17,66697,25176,1280,4279,3337,1704,1216,1049
2,focus,2026-03-30 20:48:18,690139,670701,105346,53361,12710,27500,39142,10816
2,focus,2026-03-30 20:48:19,478290,93183,5836,14662,25352,16739,5846,2095
2,focus,2026-03-30 20:48:20,576998,202608,33088,58287,14209,33480,11917,5751
2,focus,2026-03-30 20:48:21,463810,92527,2238,2830,1739,2439,1346,902
2,focus,2026-03-30 20:48:22,1648962,143007,169957,75964,37949,29752,28951,13263
2,focus,2026-03-30 20:48:23,514375,51552,68731,10636,12460,20454,25359,4527
2,focus,2026-03-30 20:48:24,582289,27493,6892,10028,10818,16041,6600,4986
2,focus,2026-03-30 20:48:25,1006118,153842,7107,7030,7207,5544,3936,2441
2,focus,2026-03-30 20:48:26,1311607,751058,35541,91649,44573,32173,19077,15135
2,focus,2026-03-30 20:48:27,769373,241893,59586,20787,16648,36753,7664,15189
2,focus,2026-03-30 20:48:28,3288369,336700,131135,39059,11159,42451,26441,12265
2,focus,2026-03-30 20:48:29,839423,128751,8371,15223,13089,11563,9227,3448
2,focus,2026-03-30 20:48:30,1023914,82742,6042,2191,5208,8176,4794,6620
2,focus,2026-03-30 20:48:31,2825830,374849,69969,9484,21402,26821,9371,11144
2,focus,2026-03-30 20:48:32,2210050,814443,33986,12340,25010,41623,11564,13828
2,focus,2026-03-30 20:48:33,823220,35323,11310,4849,4366,5474,4902,3032
2,focus,2026-03-30 20:48:34,2500745,172393,49817,13418,16577,16425,7002,3067
2,focus,2026-03-30 20:48:35,703238,94500,16526,4763,4793,6821,5311,9765
2,focus,2026-03-30 20:48:36,1031755,1076846,146973,61689,27073,48756,26236,13660
2,focus,2026-03-30 20:48:37,258285,130190,8981,47525,2638,8591,7839,1660
2,focus,2026-03-30 20:48:38,45753,10461,1850,2795,5333,2184,2164,1225
2,focus,2026-03-30 20:48:39,1438565,134412,42707,47151,26551,39947,18711,10192
2,focus,2026-03-30 20:48:40,531047,405731,25160,53241,51477,58690,19796,13267
2,focus,2026-03-30 20:48:41,1208950,627222,216774,34981,40276,23440,29737,16519
2,focus,2026-03-30 20:48:42,680989,34675,55572,15239,7178,14404,4978,3860
2,focus,2026-03-30 20:48:43,448973,110354,20707,23476,6628,6213,5986,4246
2,focus,2026-03-30 20:48:44,1510085,64183,62021,17068,15329,12699,5186,3889
2,focus,2026-03-30 20:48:45,566942,67600,4726,4847,6632,9086,8774,6955
2,focus,2026-03-30 20:48:46,715625,166861,29583,14397,9275,18776,2938,7213
2,focus,2026-03-30 20:48:47,210950,82124,27629,20395,3353,7399,6222,2657
2,focus,2026-03-30 20:48:48,458019,149056,51595,91401,17383,38767,28952,7313
2,focus,2026-03-30 20:48:49,753371,1214387,52132,34176,19445,26118,20867,18888
2,focus,2026-03-30 20:48:50,1219599,378266,80637,14573,24775,19838,13414,11260
2,focus,2026-03-30 20:48:51,1129813,88281,24626,12599,6066,11676,5072,1881
2,focus,2026-03-30 20:48:52,1001269,29903,11420,9067,5487,12214,12252,6347
2,focus,2026-03-30 20:48:53,1689166,205649,46666,37579,18179,34453,53459,5978
2,focus,2026-03-30 20:48:54,911310,441664,37786,40266,36873,38707,14946,20916
2,focus,2026-03-30 20:48:55,1601725,84586,20513,7746,14303,9070,13957,1289
2,focus,2026-03-30 20:48:56,981292,57130,26246,20575,6968,8401,8180,2629
2,focus,2026-03-30 20:48:57,122277,18548,3989,3188,4284,972,2096,613
2,focus,2026-03-30 20:48:58,505851,58932,24008,39306,5415,6419,6107,6969
2,focus,2026-03-30 20:48:59,1631451,542087,183673,63870,34562,33761,51319,22304
2,focus,2026-03-30 20:49:00,868232,144462,14401,12051,1021,9335,6979,2725
2,focus,2026-03-30 20:49:01,996793,100661,12799,4350,8981,11442,5146,2974
2,focus,2026-03-30 20:49:02,1151187,254817,11783,6424,5552,8884,10029,3058
2,focus,2026-03-30 20:49:03,1165419,124091,5371,24555,10992,9570,6190,3759
2,focus,2026-03-30 20:49:04,1051206,107070,34287,18221,14868,8668,5400,3745
2,focus,2026-03-30 20:49:05,232054,90992,23912,9112,11965,11941,9758,8027
2,focus,2026-03-30 20:49:06,263726,24938,4347,2347,4556,3269,2542,1498
2,focus,2026-03-30 20:49:07,1343511,26847,9752,2250,9495,9400,6144,2376
2,focus,2026-03-30 20:49:08,298696,18689,10202,4434,2531,2859,1198,472
2,focus,2026-03-30 20:49:09,1773918,710738,22959,117525,26054,45494,31718,9822
2,focus,2026-03-30 20:49:10,804521,84245,37072,8853,22476,11225,11365,5755
2,focus,2026-03-30 20:49:11,1442966,329935,69039,154851,211542,42936,48992,16344
2,focus,2026-03-30 20:49:12,1671901,1092540,18388,25074,88214,27412,48964,8857
2,focus,2026-03-30 20:49:13,572451,245313,65538,70021,48251,43743,31608,23179
2,focus,2026-03-30 20:49:14,805658,34865,66831,10794,5687,5666,8815,6659
2,focus,2026-03-30 20:49:15,335634,148921,66870,9922,12804,6263,5620,5290
2,focus,2026-03-30 20:49:16,1282712,1105153,74345,92909,43236,65670,22444,23880
2,focus,2026-03-30 20:49:17,388448,99476,28129,17751,5523,15585,5639,9878
2,focus,2026-03-30 20:49:18,1978428,408248,128744,15169,36110,38626,17362,19059
2,focus,2026-03-30 20:49:19,620334,728673,33402,25507,12567,31409,30886,18047
2,focus,2026-03-30 20:49:20,897374,199431,1850,15160,5973,6280,3074,2953
2,focus,2026-03-30 20:49:21,911157,154290,40348,11502,11283,7562,8238,7145
2,focus,2026-03-30 20:49:22,658177,126330,47431,41731,15776,16361,11399,1639
2,focus,2026-03-30 20:49:23,749532,44910,21805,18680,8112,7805,6107,5629
2,focus,2026-03-30 20:49:24,418853,119520,63503,18515,10358,6952,8163,3541
2,focus,2026-03-30 20:49:25,1256711,332636,105357,16815,26182,35747,15898,12397
2,focus,2026-03-30 20:49:26,319859,100102,10255,9063,10697,2743,5557,3032
2,focus,2026-03-30 20:49:27,966845,25013,7858,7366,6120,5520,6606,6253
2,focus,2026-03-30 20:49:28,599744,104171,11330,14214,3219,5330,8638,1352
2,focus,2026-03-30 20:49:29,1429456,444726,184936,39207,20201,36663,33609,21594
2,focus,2026-03-30 20:49:30,642974,126391,14232,29640,3928,8140,4371,1865
2,focus,2026-03-30 20:49:31,204182,91640,7126,12968,6339,6878,4839,3308
2,focus,2026-03-30 20:49:32,505909,575883,97033,34770,19692,20949,38401,13416
2,focus,2026-03-30 20:49:33,631699,304073,39652,91180,69483,36648,37544,23564
2,focus,2026-03-30 20:49:34,1397030,899660,10349,48865,68355,41732,22554,11910
2,focus,2026-03-30 20:49:35,1400112,34520,3388,3926,1403,2467,2425,4358
2,focus,2026-03-30 20:49:36,1270965,288640,36560,40929,15709,26814,29254,9567
2,focus,2026-03-30 20:49:37,327383,92381,2542,12317,5872,4933,2652,3903
2,focus,2026-03-30 20:49:38,801192,54477,71065,1850,11453,7921,7460,6652
2,focus,2026-03-30 20:49:39,2771886,301924,271256,125216,217894,205994,114609,47809
2,focus,2026-03-30 20:49:40,120338,35078,1907,3761,1631,2270,2242,884
2,focus,2026-03-30 20:49:41,673604,48607,43016,12036,31133,7676,5857,4472
2,focus,2026-03-30 20:49:42,881918,120315,18281,17953,3531,7348,9964,2792
2,focus,2026-03-30 20:49:43,318768,102485,12426,15137,4960,6608,4921,2523
2,focus,2026-03-30 20:49:44,499338,17321,14822,3932,2134,3235,2330,1613
2,focus,2026-03-30 20:49:45,101633,37621,3510,4063,917,3584,1592,451
2,focus,2026-03-30 20:49:46,893592,129248,13466,29930,11264,10577,5849,8080
2,focus,2026-03-30 20:49:47,105333,31187,2253,8614,4938,1965,2408,1228
2,focus,2026-03-30 20:49:48,205779,75298,15672,8448,5679,6388,6082,3661
2,focus,2026-03-30 20:49:49,134833,131354,25749,5909,21342,9130,5345,3220
2,focus,2026-03-30 20:49:50,433233,47517,12347,6910,2691,6027,7331,3601
2,focus,2026-03-30 20:49:51,219155,59672,29298,5415,17383,9981,5405,4350
2,focus,2026-03-30 20:49:52,377360,139248,19267,16797,9305,7606,8322,3972
2,focus,2026-03-30 20:49:53,2113050,280556,60981,20528,7330,21120,9980,8538
2,focus,2026-03-30 20:49:54,557708,156458,8826,10878,6441,6504,5283,2402
2,focus,2026-03-30 20:49:55,1826735,207655,7954,16787,14221,11632,7765,2614
2,focus,2026-03-30 20:49:56,2627001,1120419,80318,106032,25662,41120,26663,14424
2,focus,2026-03-30 20:49:57,1028995,101168,42315,18983,3091,11666,8157,8150
2,focus,2026-03-30 20:49:58,312487,156836,12151,18375,12015,4961,3915,4138
2,focus,2026-03-30 20:49:59,742007,58404,7756,20783,7860,4052,6220,2988
2,focus,2026-03-30 20:50:00,1451667,89826,11994,12041,23865,8842,6150,3550
2,focus,2026-03-30 20:50:01,532377,157984,13699,19868,18244,10179,9813,3699
2,focus,2026-03-30 20:50:02,927109,32598,7640,6282,5252,3547,2073,1461
2,focus,2026-03-30 20:50:03,1043038,125334,45375,21272,13956,5354,4318,6849
2,focus,2026-03-30 20:50:04,1124449,32787,16688,22653,8116,5299,7956,3630
2,focus,2026-03-30 20:50:05,1187444,124336,8049,7867,12934,16284,4829,22768
2,focus,2026-03-30 20:50:06,178124,92570,7976,4882,4771,1546,1274,870
2,focus,2026-03-30 20:50:07,2479879,520387,3962,42041,26141,53881,15146,9387
2,focus,2026-03-30 20:50:08,389202,49791,9765,1942,7321,1982,2868,2204
2,focus,2026-03-30 20:50:09,78069,90543,1709,2963,5108,4203,1505,1103
2,focus,2026-03-30 20:50:10,396704,366926,87160,50733,31994,35759,44146,9775
2,focus,2026-03-30 20:50:11,177487,116806,6572,21026,7180,5687,8734,3227
2,focus,2026-03-30 20:50:12,278060,13589,10067,2635,2441,2219,2980,900
2,focus,2026-03-30 20:50:13,236387,92893,8062,3881,4365,4921,6985,2988
2,focus,2026-03-30 20:50:14,2288609,948204,64730,24838,37406,22043,24330,13324
2,focus,2026-03-30 20:50:15,2298614,545339,55026,24091,49579,27874,46773,23977
2,focus,2026-03-30 20:50:16,145725,51576,12651,6062,4126,1579,1348,954
2,focus,2026-03-30 20:50:17,382948,40677,1050,5714,2402,3390,3120,639
2,focus,2026-03-30 20:50:18,752636,336691,74890,90041,52488,57667,10308,3413
2,focus,2026-03-30 20:50:19,1690555,618411,32003,24042,23804,6641,3760,4042
2,focus,2026-03-30 20:50:20,2028500,1031657,66183,82233,72824,26714,21221,17963
2,focus,2026-03-30 20:50:21,1890856,330843,89534,57707,26774,35309,61049,41935
2,focus,2026-03-30 20:50:22,958741,258548,13482,11648,13328,8619,12104,5770
2,focus,2026-03-30 20:50:23,2096230,38443,8699,3261,6907,8213,16931,6317
2,focus,2026-03-30 20:50:24,841427,332691,32922,10653,14884,7260,3666,8537
2,focus,2026-03-30 20:50:25,246729,91540,10794,5527,11645,9925,10863,4301
2,focus,2026-03-30 20:50:26,1584025,50300,15838,23768,7418,5780,9167,3701
2,focus,2026-03-30 20:50:27,96596,131829,18870,13403,6635,12450,10987,4164
2,focus,2026-03-30 20:50:28,1267215,310369,16732,27896,15115,17813,2635,3195
2,focus,2026-03-30 20:50:29,1143085,31577,26083,4968,5800,6306,8551,7481
2,focus,2026-03-30 20:50:30,1801284,65085,47250,12137,13028,5101,12340,1866
2,focus,2026-03-30 20:50:31,193073,95269,16044,1374,8152,10681,5777,1706
2,focus,2026-03-30 20:50:32,711860,86361,40248,10859,7487,9185,20141,6619
2,focus,2026-03-30 20:50:33,1461312,72753,5631,8759,12080,13784,3461,6512
2,focus,2026-03-30 20:50:34,231860,68477,67580,25751,12459,15432,7788,5333
2,focus,2026-03-30 20:50:35,876287,113250,37830,15885,12304,10692,12994,8490
2,focus,2026-03-30 20:50:36,841834,40906,21124,5880,8203,10130,4638,10662
2,focus,2026-03-30 20:50:37,996820,115320,25633,29628,12415,22322,14430,17041
2,focus,2026-03-30 20:50:38,1607808,174530,17186,50529,23063,51706,16590,13340
2,focus,2026-03-30 20:50:39,2463961,181381,26009,15181,21244,23542,35837,9438
2,focus,2026-03-30 20:50:40,882523,54260,40015,15414,19494,24232,33645,9922
2,focus,2026-03-30 20:50:41,691133,27504,3442,10525,4047,9426,10079,4366
2,focus,2026-03-30 20:50:42,957123,386297,115743,29056,47472,28781,39556,24447
2,focus,2026-03-30 20:50:43,242935,80855,10260,2464,10148,12457,10028,2301
